Tile Number,Type 1 olivine,Type 2 olivine,plagioclase,lcp,hcp + olivine,,Note
T0183,0,1,0,0,1,,Counts are not filtered by geologic unit and are therefore higher than those reported in the text.
T0184,2,3,0,0,5,,
T0185,0,1,0,0,2,,
T0235,0,8,0,0,2,,
T0236,4,18,13,2,9,,
T0237,9,10,2,0,4,,
T0238,1,0,0,1,0,,
T0239,1,0,0,0,2,,
T0240,9,15,2,3,19,,
T0289,1,3,0,0,0,,
T0290,8,27,3,1,17,,
T0293,7,6,6,1,1,,
T0294,5,7,2,3,2,,
T0359,3,0,0,2,16,,
T0360,4,5,2,2,7,,
T0361,14,3,0,0,8,,
T0362,0,0,0,0,1,,
T0363,6,5,9,13,11,,
T0364,21,18,3,51,87,,
T0365,1,1,0,14,8,,
T0431,0,5,1,9,2,,
T0432,7,16,5,2,7,,
T0433,41,49,10,29,113,,
T0434,27,27,13,14,26,,
T0435,29,24,40,51,69,,
T0436,6,12,4,33,67,,
T0437,0,1,0,40,0,,
T0503,10,12,1,1,1,,
T0504,6,15,0,31,0,,
T0505,6,11,4,15,0,,
T0506,0,7,13,10,3,,
T0507,2,8,2,17,3,,
T0508,4,0,2,11,0,,
T0576,0,2,0,5,1,,
T0577,2,1,0,0,0,,
T0578,0,2,1,5,0,,
T0579,2,2,0,32,0,,
T0580,0,2,0,4,0,,
